articleID,snippet,topic
5adef233068401528a2aa52c,Juan Carlos Cruz was sexually abused by one of Chile’s most prominent priests. This week he is staying at the Vatican in an extended visit with Pope Francis.,International
5adef22f068401528a2aa525,"It’s a city friendly to the creative crowd, with ample and affordable space and a share of solitude.",Culture/Education
5adef226068401528a2aa520,"Gun owners who favor increased restrictions can be an overlooked group. Some have grown more vocal, marching and testifying in favor of limits.",Culture/Education
5adef226068401528a2aa51f,"Two new books, “The Space Barons” and “Rocket Billionaires,” tell the story of the entrepreneurial push to leave Earth.",Art
5adef221068401528a2aa517,The 39th president of the United States on international relations and life after cancer.,International
5adef221068401528a2aa516,"In inquiries on Benghazi and Russia and beyond, the California congressman has displayed a deep mistrust of the expert consensus on reality — a disposition that has helped him make friends in the current White House.",Elections
5adef218068401528a2aa514,A decision by the state’s Supreme Court barring church use of county grants for historic preservation could have national ramifications.,Entertainment
5aded6a7068401528a2aa4e0,"Are you a procrastinator, a pre-crastinator (someone who starts a task early and finishes it as soon as possible) or something in between?",Culture/Education
5adec85b068401528a2aa4c1,This word has appeared in two articles on nytimes.com in the past year.,Leisure
5adeae5b068401528a2aa48c,"Before my illness, I was a healthy 22-year-old. But, my doctors speculated, I must have eaten some leafy greens contaminated by E. coli bacteria.",International
5adea843068401528a2aa47a,"Branded “idiots,” residents of Grimsby, England, choose romance for a dying fishing industry over another that is thriving.",Gun Crimes
5ade8fa4068401528a2aa465,Peter Gordon takes on a metaphysical poet.,International
5ade8c22068401528a2aa460,The late Queen of Disco and pioneer of electronic dance music gets the Broadway jukebox treatment.,Politics
5ade8a5b068401528a2aa45d,"Women still earn far less for every dollar that men earn, but two professors say their research shows no significant difference at the chief executive level.",Culture/Education
5ade7af0068401528a2aa44b,Officials took the Nashville shooting suspect’s guns after a run-in at the White House last year. But his father gave the guns back.,Culture/Education
5ade7940068401528a2aa448,The travel ban case is the first major legal challenge to the president’s authority that the justices have heard.,International
5ade7448068401528a2aa443,Activist women are transforming the state’s politics.,Elections
5ade70ca068401528a2aa43f,Those who care about vulnerable minorities need to reckon with the economic inequality that leads so many people to vote for authoritarians.,International
5ade6ca1068401528a2aa43a,The Waffle House shooting is a painful reminder of Tennessee’s failure to protect its own citizens from mass murderers with guns.,Culture/Education
5ade6193068401528a2aa41e,Why Republicans ended up at war with America’s schoolteachers.,Elections
5ade5afd068401528a2aa40f,"Minutes before a committee vote, Senator Rand Paul, Republican of Kentucky, bowed to pressure and backed the confirmation of Mike Pompeo to be secretary of state.",International
5ade5764068401528a2aa406,Buying a cup of coffee leads to a memory of history learned in grade school.,NYC
5ade43f3068401528a2aa3d6,The M.T.A. released a turnaround plan for the failing bus system with a redesign and all-door boarding.,NYC
5ade33d3068401528a2aa3b1,"As Melania Trump oversees preparations to welcome President Emmanuel Macron of France, her advice to her staff before the high-profile event is not to worry.",International
5ade301d068401528a2aa3a7,National Democrats were shocked in 2016 when a Republican presidential nominee carried Wisconsin for the first time since 1984. Now both parties see a key Senate race as a crucial test before 2020.,NYC
5ade2db2068401528a2aa3a3,"The meeting of the two leaders exemplifies a world less constrained by the guardrails of international norms, in which virtually anything can happen.",International
5ade2860068401528a2aa38f,More than a dozen other people were injured in what was one of the worst mass killings in the modern history of Canada. The police said the driver was in custody.,Gun Crimes
5ade1cb8068401528a2aa371,Indigenous people are asking why Pope Francis will not be apologizing anytime soon for abuses at Catholic-run boarding schools in Canada.,Social Issues
5ade101e068401528a2aa344,"As he arrives for the first state visit of Mr. Trump’s administration, Mr. Macron, the French president, hopes to persuade the American leader not to scrap the agreement with Tehran.",International
5ade05c2068401528a2aa32c,"A little-publicized amendment in the new tax law shows the growing political clout of American spirits producers, particularly the smaller ones.",International
5ade0309068401528a2aa322,The Russo brothers pushed to bring the Avengers series to a close — in a two-part extravaganza beginning with “Infinity War” — and Marvel listened.,Gun Crimes
5ade0308068401528a2aa320,A young soldier whose genitals were destroyed underwent extensive reconstructive surgery that doctors hope to offer to others who were wounded at war.,International
5addfc74068401528a2aa317,A look at one of the entries that stumped crossword solvers last week.,Politics
5addfaee068401528a2aa310,"The restaurant chain Mo’ Bettahs has found success appealing to Utah’s dominant religious group: Mormons, who have long had ties to Polynesia.",Social Media
5addf0dc068401528a2aa2f0,"The sociologist Manuel Pastor explores the rise, fall and rise again of America’s most populous state.",Social Media
5adde6e8068401528a2aa2cb,"Coursing through pop culture, this attitude puts the onus on women to improve their self-esteem instead of criticizing societal beauty standards.",Social Media
5addda95068401528a2aa2aa,"The police said Monday that they had arrested Travis J. Reinking, who has been accused of killing four people at a restaurant early Sunday.",Culture/Education
5addd996068401528a2aa2a7,"Monday: outrage in Ventura after a stabbing, the author Junot Díaz thrills L.A. and a look at the climate records of Gov. Jerry Brown’s would-be successors.",International
5addd18c068401528a2aa292,"James Shaw Jr. grabbed an AR-15 from a shooter’s hands early on Sunday, most likely stopping further bloodshed at a Waffle House outside Nashville.",Culture/Education
5addaea7068401528a2aa23a,"In an interview, the schools chief talked about where he differs from Mayor de Blasio, his commitment to desegregation and his vision for the system.",Social Issues
5addaea4068401528a2aa238,"Monday: How a handful of races could change New York politics, the Supreme Court vs. Martin Luther King Jr., and a celebration of language.",NYC
5addaea4068401528a2aa239,"“People don’t truly understand what A.D.H.D. is and why a kid who’s bright can’t just grit his teeth and get it done,” a child psychiatrist says.",Social Issues
5addaeb3068401528a2aa23b,"In the decades since the first genetically modified foods reached the market, no adverse health effects among consumers have been found.",Leisure
5addab21068401528a2aa22f,"It’s a wrap for “Nashville,” but the city is still deciding what to be.",Culture/Education
5addab22068401528a2aa230,The makers of the HBO series have produced a powerful work of philosophy.,Social Media
5adda79b068401528a2aa22b,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.",Entertainment
5adda09c068401528a2aa217,"When it comes to studying the genetics of the brain, Soo-Kyung Lee is a star, yet she was stunned to discover the cause of her daughter’s devastating disabilities.",NYC
5adda09b068401528a2aa215,"A coffee table doesn’t have to be a static object in the center of the living room — with multiple surfaces, it can add function and enliven a space.",Entertainment
5adda099068401528a2aa214,Little has changed on the Scottish island of Islay since its iconic whisky distilleries were profiled in Alfred Barnard’s famously detailed Victorian era book.,Culture/Education
5adda094068401528a2aa211,"Subway officials hope ultra-wideband radio will help modernize the signal system, but the technology has not been used on a major transit system.",NYC
5adda093068401528a2aa210,A judge’s ruling on warning labels for coffee isn’t backed by evidence and could do more harm than good. ,Entertainment
5add91e9068401528a2aa1ee,"The third child of Catherine and Prince William was born Monday morning, weighing 8 pounds, 7 ounces.",NYC
5add8477068401528a2aa1d6,"Barack Obama does not plan to take on President Trump directly, but an adviser said the former president would not shrink from confronting the divisive issues around his successor.",Culture/Education
5add8477068401528a2aa1d5,"Despite the high stakes and bright lights, the nation’s statehouse impeachment bar is but a handful of battle-tested lawyers. The next test may be in Missouri.",Gun Crimes
5add8224068401528a2aa1d1,Andrea Barone nearly quit his job as a minor league hockey referee after years of hearing coaches and players use anti-gay language during games.,Art
5add76db068401528a2aa1b6,What is the best way to respond to societal pressure to look outwardly happy and friendly?,International
5add56c8068401528a2aa181,"Europe is outsourcing border management to distant countries, hoping to stop migrants before they cross the Mediterranean. But there may be a high moral cost.",International
5add510f068401528a2aa17d,"For decades, loudspeakers have blared demoralizing messages and pop songs across the Demilitarized Zone, beckoning North Korean troops to defect.",International
5add4c34068401528a2aa178,"Taylor makes an unexpected connection. Axe, meanwhile, connects the dots.",Art
5add41aa068401528a2aa172,"HBO’s sweeping sci-fi western is back, and the hosts are in open, bloody revolt. How will they manage the practical and moral repercussions?",Gun Crimes
5add3aa6068401528a2aa16b,"J.K. Rowling’s ever-popular boy wizard is all grown up in this enthralling two-part play, directed with seamless magic by John Tiffany.",NYC
5add3aa5068401528a2aa16a,A French verse craze inspired a 1738 farce and now a comedy in couplets by David Ives.,Gun Crimes
5add2004068401528a2aa14b,"Even as private employers have rebounded from the recession, the public sector’s ranks have withered, and pay and benefits have lagged.",International
5add1d6d068401528a2aa149,"To end the worst stagnation in living standards since the Great Depression, the country needs to be bold.",Politics
5add197f068401528a2aa147,The president demands gratitude. He’s made “thank you” divisive.,International
5add152e068401528a2aa141,"The Russia investigation has uncovered shady practices in the interlinked worlds of banking, law and lobbying that have long flourished in the dark.",Elections
5add13c7068401528a2aa13d,"America has only ever impeached two presidents, but both remained in office.",Politics
5add1387068401528a2aa13b,"Black students, not whites, made the events of that spring so important.",Social Issues
5add08b6068401528a2aa12d,"Muhammad Ayoub, 14, was said to have sneaked away from his mother to join the protests along the Gaza border before being shot dead.",International
5add05e5068401528a2aa128,Lynn Lempel leads off our solving week.,Social Media
5add05e5068401528a2aa129,A broken lamp goes out with the trash.,NYC
5adcec5a068401528a2aa10d,"How did two Democrats, whose politics and goals often mesh, allow their onetime friendship to deteriorate to the point of pure contempt?",NYC
5adcdb2e068401528a2aa0f6,Chinese brokers send goods around the world to disguise their origin and escape penalties. Tougher trade rules may end up only helping them.,Politics
5adcc006068401528a2aa0c2,"A finger exercise on tariffs, Trump style",Politics
5adcb974068401528a2aa0b6,"Beijing fears that a grand deal with the North’s longtime enemies could diminish its influence over Pyongyang, experts said.",International
5adcaffc068401528a2aa0ad,Remarks from yesterday’s memorial service.,Culture/Education
5adca0b3068401528a2aa098,"A column on J. Marion Sims drew impassioned responses from readers, several arguing that the doctor has been needlessly vilified by modern observers.",Culture/Education
5adc24eb068401528a2aa01d,The West Hants Club no longer has “tennis” in its title. But the modern era of open tennis tournaments would not have gotten started without it.,Entertainment
5adbd7d3068401528a2a9fd0,Ross Trudeau’s puzzle goes quid pro quo.,Politics
5adb9370068401528a2a9f8c,"Under siege by the president’s allies in the House, Mr. Rosenstein has acceded to some demands. But his allies worry that may expose the Justice Department to political meddling.",Elections
5adb8334068401528a2a9f74,History supplies precedents and lessons for the opioid epidemic raging in America today — but we seem to have largely forgotten both.,Social Media
5adb8331068401528a2a9f70,Forget Stormy Daniels. The business records subpoenaed by Robert Mueller might be Donald Trump’s greatest legal headache.,Leisure
5adb8330068401528a2a9f6f,The United States is losing its influence as its relative power erodes. How should it manage the transition without destabilizing everyone else?,International
5adb8330068401528a2a9f6d,"A convict in West Virginia, bondage in Missouri and a wacky contest for control of the chamber.",Politics
5adb8330068401528a2a9f6e,"The federal government may ignore the environment, but we can’t afford to.",Elections
5adb832f068401528a2a9f6c,"With the blunt and plain-spoken and often funny Barbara Bush, you always knew where you stood.",Politics
5adb832c068401528a2a9f6b,White people who see black people through racism’s lens can often count on the police to share their outlook.,Culture/Education
5adb6007068401528a2a9f44,Mel Taub is back with some head-spinners.,Entertainment
5adb5fe8068401528a2a9f43,The E.P.A. chief is under scrutiny for high spending and interactions with lobbyists. Many of the pitfalls he has encountered in Washington have echoes in his past.,Elections
5adb5363068401528a2a9f2f,"Democratic leaders are intervening aggressively in California, where the state’s unusual voting system could undercut their chances in crowded congressional races.",Politics
5adb535d068401528a2a9f2e,"False rumors set Buddhist against Muslim in Sri Lanka, the most recent in a global spate of violence fanned by social media.",Leisure
5adb43e9068401528a2a9f19,What recourse do residents have if their neighbors decide to rent out their homes through sites like Airbnb and VRBO?,Social Media
5ada9b24068401528a2a9e88,Daniel Nierenberg drops some science on us in this challenging debut.,Entertainment
5ada9064068401528a2a9e80,"Now, all the infants in the Senate aren’t elected.",International
5ada8fda068401528a2a9e7f,Black New Yorkers are 12 times more likely to die from childbirth-related causes than white women. Health officials can do more to save lives.,Art
5ada8875068401528a2a9e7c,"If we can give our newspapers over to gun-toting maniacs for days on end, we can spare some attention for this.",Culture/Education
5ada7dfc068401528a2a9e6c,"Despite awful weather at the Boston Marathon, women seemed to hold up better than men.",International
5ada7cea068401528a2a9e6b,"Israel is a safeguard for Jews, not a vanity.",Culture/Education
5ada4fb1068401528a2a9e05,"Scores of readers, not to mention a few colleagues, contacted our standards desk urgently to point out what they believed was an embarrassing typo.",Social Issues
5ada363c068401528a2a9dc8,"While performers who go from show to show embrace the identity, Actors’ Equity has decided that a ceremony celebrating them needs to be renamed.",Art
5ada2dc4068401528a2a9daf,"Roger Stone says Mr. Trump has long treated Mr. Cohen, his lawyer and fixer, “like garbage.” Now he could end up cooperating in a criminal investigation against Mr. Trump.",Elections
5ada228a068401528a2a9d91,"New York-area audiences finally have a chance to see Angélica Liddell, a darling of European theaters, in “Esta Breve Tragedia” at Peak Performances.",Culture/Education
5ada1068068401528a2a9d57,The lawsuit accuses Mr. Trump’s associates of illegally working with Russian intelligence agents to interfere with the outcome of the 2016 election.,International
5ada0fb5068401528a2a9d52,"Pappardelle with fresh-from-the-market garlic shoots, peas and pancetta is a perfect expression of the season’s beginning.",Art
5ada0b32068401528a2a9d3d,"Prosecutors recommended charging a New York police officer, but others question whether the case can be won. Mr. Garner’s gasps of “I can’t breathe” galvanized protesters.",Elections
5ada0944068401528a2a9d2f,Covering Hillary Clinton’s campaign from before it started to the very last moment.,Elections
5ada0827068401528a2a9d29,"The C.I.A. is making an unusually public push to ensure President Trump’s nominee for director, Gina Haspel, is confirmed.",International
5ada04af068401528a2a9d1d,Each bite of this cake contains a burst of tangy grapefruit.,Leisure
5ad9f268068401528a2a9ceb,The Bjarke Ingels Group has designed towers near the High Line that twist as they rise to maximize views of the city and Hudson River.,Leisure
5ad9efb1068401528a2a9ce1,The fines against the bank settle investigations into its lending practices. They are the biggest bank penalties imposed under the Trump administration.,Social Issues
5ad9edcc068401528a2a9cd8,"No one can say exactly why there has not been a murder in a precinct where violence has been too common, and no one knows how long the peace will last.",Culture/Education
5ad9e70b068401528a2a9cc3,"Friday: A new Sabbath tradition, outrage over a police killing in a Walmart parking lot, the enigma of Senator Kamala Harris and the NorCal origins of the 4/20 code.",Culture/Education
5ad9e45c068401528a2a9cb9,"When a woman becomes ill, one of her first thoughts is to bequeath her rent-stabilized apartment to a good friend who needs it.",Culture/Education
5ad9d182068401528a2a9c85,"For a show that celebrates the power and glory of artifice, “RuPaul’s Drag Race” is tackling some gritty realities.",Entertainment
5ad9ba61068401528a2a9c40,It’s not always easy to tell if you have heart disease or have had a heart attack.,Gun Crimes
5ad9ba28068401528a2a9c3f,"Friday: A look inside a changing New York institution, weekend events, and Earth Day.",NYC
5ad9ba24068401528a2a9c3b,You were establishing roots for a suburban life I would never be able to provide.,Gun Crimes
5ad9b881068401528a2a9c35,The former F.B.I. director was interviewed for “The Daily” podcast. Here are five takeaways from the conversation.,Elections
5ad9b6a9068401528a2a9c31,"If New York’s left can keep Andrew Cuomo from striding onto the national stage posing as a progressive, we can send the party a message it needs to hear.",Social Media
5ad9b6a3068401528a2a9c30,Campus free speech is threatened on the left as well as the right.,Politics
5ad9b6a2068401528a2a9c2f,"Israel has the right to defend its borders, but not to use lethal force against unarmed protesters.",International
5ad9b32e068401528a2a9c25,"In her new book, “Fascism: A Warning,” the former secretary of state finds the seeds of authoritarian rule in social, political and economic chaos.",International
5ad9b0eb068401528a2a9c23,The announcement by Kim Jong-un came less than a week before he meets with the president of South Korea.,International
5ad9ac98068401528a2a9c19,"How four families who outgrew their homes made the decision to stay put and make do, or move out and trade up.",Leisure
5ad9ac27068401528a2a9c07,"Anger at the outsize role played by wealth has ignited a surge in the number of people who identify openly as socialists, even in red states.",Politics
5ad9ac20068401528a2a9c00,Powerful conservative lawmakers have begun publicly questioning the E.P.A. chief and insisting on explanations of his travel and security spending.,Elections
5ad9ac1f068401528a2a9bff,The isolated North is finding ways to cope with tough new penalties. Is the economic pressure enough to get Kim Jong-un to give up his weapons?,International
5ad9ac1b068401528a2a9bfc,"With the help of devoted customers, Ram Badan Singh is still selling papers on the same Upper West Side corner where he began 36 years ago.",Art
5ad9a7a4068401528a2a9bf0,"Karen McDougal, a former Playboy model, was just freed from a nondisclosure agreement surrounding her alleged relationship with President Trump. Colbert is wary.",Entertainment
5ad9a2b2068401528a2a9bde,Some runners use marijuana to provide a mental or physical boost.,Gun Crimes
5ad99ebd068401528a2a9bd7,What story could this image tell?,Culture/Education
5ad990a8068401528a2a9bc3,"Are there different rules for what boys and girls can wear in your school’s dress code? If so, what are they? How do you feel about them?",Culture/Education
5ad985f5068401528a2a9ba5,The memos written by the former F.B.I. director James B. Comey paint a revealing portrait of his interactions with President Trump.,Elections
5ad983c6068401528a2a9b9f,Who is Tammie Jo Shults?,Culture/Education
5ad981e8068401528a2a9b98,The I.O.C. wants Russia back. The World Anti-Doping Agency and track and field’s governing body want the country to admit to state-sponsored doping.,Art
5ad973d8068401528a2a9b7a,"Al has been stagnating on all fronts, but this week he got a wake-up call.",Culture/Education
5ad94d33068401528a2a9b43,Joel Fagliano is someone we can count on.,Entertainment
5ad94cea068401528a2a9b41,"The memos, which had been redacted, detail phone calls and encounters between President Trump and James B. Comey, the former F.B.I. director.",Elections
5ad94622068401528a2a9b33,Lauren Ambrose stars as a newly empowered flower girl in a gorgeous revival that transforms the classic musical into an ur-text for the #MeToo moment.,International
5ad93673068401528a2a9b1c,"With a man in the White House who helped set off a new women’s movement, the Equal Rights Amendment has a chance of being ratified.",Culture/Education
5ad92194068401528a2a9af9,Why has Trump’s tax cut been such a political fizzle?,Politics
5ad91e7b068401528a2a9aee,"From poison to cyberattacks, Moscow has violated countless norms of warfare and sovereignty.",International
5ad9117e068401528a2a9acb,"Going on a creative writing assignment, and bringing dinner home.",Social Media
5ad90ff0068401528a2a9ac6,Yoselyn Ortega’s relatives lied about her experience to get her a job caring for the children she later killed. Some think that should be a crime.,Social Media
5ad90b81068401528a2a9ab9,"Rudolph W. Giuliani, the former New York City mayor and longtime Trump loyalist, will be part of a legal stable as the president faces the Russia investigation.",Elections
5ad90a1e068401528a2a9ab4,"Tapper’s debut novel, “The Hellfire Club,” a historical thriller set in 1950s Washington, has some unsettling parallels to today’s political climate.",International
5ad90793068401528a2a9aae,"Even when ‘Scandal’ veered into the absurd, I never gave up on its heroine.",International
5ad90285068401528a2a9a98,Is fashion art? Invite your students to discuss this question after watching this six-minute documentary.,International
5ad8fd8b068401528a2a9a86,"Two federal regulators are expected to penalize the bank for its alleged misconduct, people familiar with the action said.",Social Issues
5ad8fa2b068401528a2a9a77,"Accused of defrauding the Postal Service by doping while under its sponsorship, Armstrong averted a trial next month by agreeing to the settlement.",Elections
5ad8f68d068401528a2a9a70,An outbreak of infections linked to bagged romaine lettuce has left salad lovers confused. Here are answers to common questions about leafy greens.,International
5ad8eca6068401528a2a9a48,"The Justice Department inspector general concluded in a scathing report that Andrew McCabe, the fired F.B.I. official, lacked candor when answering investigators’ questions.",Elections
5ad8e64d068401528a2a9a33,"If immunotherapy worked most of the time, this would be an unambiguously happy story. But it doesn’t.",Culture/Education
5ad8c968068401528a2a99ec,"The tiny storefront lists a single entree on its menu — Taiwanese beef noodle soup — a taste of home for some, and a ticket elsewhere for others.",Leisure
5ad8c1b9068401528a2a99c8,"The autism researcher collaborated with the Third Reich and actively assisted in the killing of disabled children, a new report says.",Culture/Education
5ad8bd5b068401528a2a99ba,"The Bajau, who spend most of their time on the ocean, are among the best divers in the world. Evolution is remaking them, a new study finds.",Culture/Education
5ad8b6a9068401528a2a99a6,"For the TriBeCa bistro from the duo who made Minetta Tavern popular, unfamiliar names on the wine list are nothing to fear.",Leisure
5ad8b46c068401528a2a999c,"Donte Robinson and Rashon Nelson, both 23, spoke out about their ordeal in interviews, days after their arrests in Philadelphia led to protests.",Culture/Education
5ad8b369068401528a2a9994,"While the “Me Too” movement has largely focused on adults, sexual harassment can leave deep and lasting scars on children and teens too.",Culture/Education
5ad8a0ec068401528a2a9948,"With the prize Faraday Okoro won at the Tribeca Film Festival came enormous pressure. But he was able to finish his project, “Nigerian Prince.”",Art
5ad899dd068401528a2a992f,A combination of lower rents and landlord concessions drove down what renters have been paying during the last four months.,Leisure
5ad89906068401528a2a992d,Most expect Cuba’s new president to be a leader of continuity after Raúl Castro. But he also has to figure out how to resuscitate Cuba’s economy.,Elections
5ad894e8068401528a2a9921,"As officials gather for the I.M.F. and World Bank convene in Washington, worries about trade and debt are building",Politics
5ad892ea068401528a2a9917,"This week’s properties are three-bedroom homes in Northport, N.Y., and North Arlington, N.J.",Leisure
5ad89093068401528a2a990f,"Thursday: Governor Brown orders troops to the border, Qualcomm starts to slim down and a grim look at the Bay Area should the Big One hit.",Entertainment
5ad87d23068401528a2a98d6,"North Korea’s leader will no longer demand that American troops leave South Korea, the South’s president said, but American officials dismissed the idea that it was a capitulation.",International
5ad87c67068401528a2a98d2,How safe are San Francisco’s skyscrapers?,Gun Crimes
5ad87bd5068401528a2a98cf,Is there too much testing at your school? Why or why not?,Politics
5ad87bb9068401528a2a98ce,"Have you ever experienced or witnessed a moment of racial bias? If so, what was that like for you?",International
5ad868a6068401528a2a9893,"Thursday: A conversation with Phillip Eng, wet weather, and what to see at the Tribeca Film Festival.",NYC
5ad868a7068401528a2a9894,One’s the U.S. poet laureate. The other is the National Ambassador for Young People’s Literature. Can they bring literature to the masses?,Culture/Education
5ad868a5068401528a2a9892,"While conversations rarely penetrate the bell jar of my self-containment, inventive forms of caregiving do.",Gun Crimes
5ad86523068401528a2a9889,"Allies on Election Day, the two wings of the Democratic Party are growing further estranged in other aspects of their lives.",International
5ad85aa1068401528a2a9874,"Mr. Washington, next in “The Iceman Cometh” on Broadway, and Mr. Jordan, the “Black Panther” star, discuss their idols, black superheroes and #MeToo.",Culture/Education
5ad85aa0068401528a2a9872,"The sprawling Nevada wilderness spared by the Trump administration offers desert vistas, petroglyphs and the celebrated “City” sculpture. Getting there really is part of the fun.",Social Issues
5ad85a9d068401528a2a986c,Would your relationship stand up to the scrutiny of the American government? Take the test.,International
5ad85a9e068401528a2a986d,"For decades, marriage to a United States citizen has been a virtual guarantee of legal residency. It isn’t anymore under the Trump administration.",Social Media
5ad85a9d068401528a2a986a,"In the Portuguese capital, a weekend’s worth of seafood feasts, chic rooftop bars, undulating streets and landmarks, both Old World and futuristic. ",Leisure
5ad85a9c068401528a2a9869,"After hiding behind an alter ego for years, the pop star is ready to step into a more authentic self with ‘Dirty Computer.’",Entertainment
5ad85a9e068401528a2a986e,"Though congestion pricing failed, it has focused attention on the hefty bridge tolls outside Manhattan, where public transit options are limited.",Culture/Education
5ad8354a068401528a2a9825,"A huge heat wave killed 30 percent of the reef’s coral in 2016, and continuously high temperatures are preventing its recovery.",Leisure
5ad3e696068401528a2a8d4b,Forgive me if I don’t rise in applause simply because Comey’s revelations are agitating Trump.,Elections
5ad3e37c068401528a2a8d47,The budget numbers of the past four decades reveal a clear pattern. But many journalists and experts are afraid to acknowledge it.,Politics
5ad3d97a068401528a2a8d41,"Jason Grote and Marisa Michelson’s new musical, set in modern-day New York, deconstructs the Middle Eastern folk tales of “One Thousand and One Nights.”",NYC
5ad3cb6a068401528a2a8d31,"Researchers are studying a promising drug that could block the delivery of opioids from blood to brain, giving addicts a path to recovery.",Social Issues
5ad3cb63068401528a2a8d2f,David Woolf brings his puzzle into focus.,Culture/Education
5ad3cb64068401528a2a8d30,She couldn’t imagine why someone would bring a dog to the chiropractor.,Leisure
5ad3c382068401528a2a8d21,A fight is brewing in Kansas City over whether choosing a boulevard on the mainly black East Side to name for Martin Luther King Jr. would honor his legacy or reinforce the segregation he fought.,Culture/Education
5ad3ba60068401528a2a8d15,The strikes were calibrated to keep the West from being dragged further into war. That left President Bashar al-Assad in power and Syria in its painful status quo.,International
5ad3a8ca068401528a2a8d00,Iran’s elite Quds Force is trying to use Syria as a base to pressure Israel. Israel is not going to stand for it.,Social Issues
5ad3a684068401528a2a8cfd,"ABC News interviewed James B. Comey, the former F.B.I. director, as he uses a publicity blitz for his memoir to raise alarms about Mr. Trump.",Elections
5ad3a5e5068401528a2a8cfb,"Mrs. Bush, 92, the popular wife and mother of presidents, “will instead focus on comfort care,” according to a statement.",International
5ad39c1b068401528a2a8cf1,"Nikki Haley, the ambassador to the United Nations, said Russian companies that have supported Syria’s chemical weapons would be targeted on Monday.",International
5ad365e8068401528a2a8c96,President Trump on Sunday delivered a series of scathing tweets ahead of the former F.B.I. director James Comey’s appearance on ABC News.,Elections
5ad31499068401528a2a8c37,Recent residential sales in New York City and the region.,Social Issues
5ad2ce48068401528a2a8bf9,"Amber Khan read tarot for decades but really found an audience when she started a YouTube channel, the Quietest Revolution.",Leisure
5ad279e4068401528a2a8bbc,"I hope Alex Bajcz got this puzzle framed and hung on his wall, because it’s a bang-up job.",Social Media
5ad2b324068401528a2a8bea,The social network has helped many parents of kids with special needs feel less alone.,Culture/Education
5ad248b8068401528a2a8b85,A new generation of female politicians campaign on the raw realities — and credentials — of motherhood.,Politics
5ad248b3068401528a2a8b84,Soldiers aren’t sacred. And civilians are not the enemy.,International
5ad248af068401528a2a8b82,This isn’t sloth. It isn’t exhaustion. It’s finally being aware of existing for its own purpose.,International
5ad248af068401528a2a8b81,"Neither a visionary nor a fanatic, the speaker simply followed his party too faithfully for too long.",Politics
5ad248af068401528a2a8b80,Predatory lending and discriminatory federal housing policy have denied African Americans the chance to reap the rewards of homeownership.,Culture/Education
5ad248af068401528a2a8b7f,It takes much more than a MacArthur Fellowship to justify the label.,Culture/Education
5ad248ae068401528a2a8b7e,William Friedkin revisits his old haunts for his new documentary about exorcism.,Leisure
5ad247bd068401528a2a8b7a,"Governments are struggling as mounting pension obligations crowd out the rest of their budgets. Oregon faces a severe, self-inflicted crisis.",International
5ad24407068401528a2a8b78,"An alliance of law firms, marketers, finance companies and doctors makes money by coaxing women to have their mesh implants removed.",Gun Crimes
5ad22583068401528a2a8b45,Emily Cox and Henry Rathvon shimmer in the sunshine.,Entertainment
